df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig
Acute hepatitis C,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Adverse effects of medical treatment,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,0.9558823529411764
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Asbestosis,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Atrial fibrillation and flutter,0.995824575424194,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Bacterial skin diseases,0.783333301544189,2.82526016235352e-5,1.41263008117676e-5,3.5617596063858476e-5,0.9852941176470588
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Benign prostatic hyperplasia,0.905354142189026,2.3412704467773e-4,1.17063522338865e-4,2.5771447082063566e-4,1
Bladder cancer,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.647559119052581e-7,1
Brain and central nervous system cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Breast cancer,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.647559119052581e-7,1
Burkitt lymphoma,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Cardiomyopathy and myocarditis,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Cardiovascular diseases,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Cellulitis,0.956043899059296,2.50339508056641e-6,1.251697540283205e-6,4.196031527085744e-6,1
Cervical cancer,0.73333328962326,8.96453857421875e-5,4.482269287109375e-5,1.0250150695327641e-4,0.9950980392156864
Chronic hepatitis C including cirrhosis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Chronic kidney disease,0.978021919727325,1.43051147460938e-6,7.1525573730469e-7,2.5731761281083364e-6,1
Chronic kidney disease due to diabetes mellitus type 2,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.326404253641764e-6,1
Chronic kidney disease due to hypertension,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.647559119052581e-7,1
Chronic kidney disease due to other and unspecified causes,0.978021919727325,1.43051147460938e-6,7.1525573730469e-7,2.5731761281083364e-6,1
Chronic lymphoid leukemia,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Chronic myeloid leukemia,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.647559119052581e-7,1
Chronic obstructive pulmonary disease,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Chronic respiratory diseases,0.916666626930237,9.5367431640625e-7,4.76837158203125e-7,1.8034225855118189e-6,1
Cirrhosis due to alcohol,0.799999952316284,1.89542770385742e-5,9.4771385192871e-6,2.588662836286754e-5,1
Cirrhosis due to other causes,0.883333265781403,2.26497650146484e-6,1.13248825073242e-6,3.930400399600752e-6,0.9754901960784312
Coal workers pneumoconiosis,0.942857086658478,1.19209289550781e-6,5.96046447753905e-7,2.1979212760925246e-6,0.9950980392156864
Colon and rectum cancer,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,6.393952803178253e-7,1
Contact dermatitis,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.1949863248658415e-5,1
Decubitus ulcer,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Diabetes and kidney diseases,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.326404253641764e-6,1
Diabetes mellitus,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,5.947819186581451e-4,0.9950980392156864
Diabetes mellitus type 2,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,5.947819186581451e-4,0.9901960784313726
Digestive diseases,0.969696879386902,1.56164169311523e-5,7.80820846557615e-6,2.1730391484386457e-5,1
Edentulism,0.99999988079071,8.34465026855469e-6,4.172325134277345e-6,1.1949863248658415e-5,1
Encephalitis,0.933333277702332,5.96046447753906e-7,2.98023223876953e-7,1.3121918066224051e-6,0.9852941176470588
Endocarditis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
"Endocrine, metabolic, blood, and immune disorders",0.783333301544189,2.82526016235352e-5,1.41263008117676e-5,3.5617596063858476e-5,1
Esophageal cancer,0.999999940395355,8.34465026855469e-7,4.172325134277345e-7,1.6195209402787063e-6,1
Eye cancer,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Fungal skin diseases,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Gallbladder and biliary diseases,1.00000011920929,2.62260437011719e-6,1.311302185058595e-6,4.298157162136506e-6,1
Gallbladder and biliary tract cancer,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
Gastritis and duodenitis,0.890909135341644,1.8632411956787e-4,9.3162059783935e-5,2.0663765140045736e-4,1
Gastroesophageal reflux disease,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.3637751703676996e-5,1
Genital prolapse,0.866666615009308,3.57627868652344e-6,1.78813934326172e-6,5.7337076767631235e-6,1
Gout,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,4.288626880180536e-7,1
"Inguinal, femoral, and abdominal hernia",0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,5.9949600790429326e-5,0.965686274509804
