df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig
Acute hepatitis C,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,1
Adverse effects of medical treatment,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,0.9803921568627452
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,1
Asbestosis,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,0.9950980392156864
Atrial fibrillation and flutter,0.995824575424194,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Benign and in situ intestinal neoplasms,1.00000011920929,2.62260437011719e-5,1.311302185058595e-5,3.512846220523942e-5,1
Bladder cancer,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Brain and central nervous system cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Breast cancer,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.158385753631598e-7,1
Burkitt lymphoma,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,0.9901960784313726
Cardiomyopathy and myocarditis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Cardiovascular diseases,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Cellulitis,0.978021919727325,1.43051147460938e-6,7.1525573730469e-7,2.5470082352801157e-6,1
Cervical cancer,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,6.23364658916692e-4,0.9901960784313726
Chronic hepatitis C including cirrhosis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Chronic kidney disease,0.978021919727325,1.43051147460938e-6,7.1525573730469e-7,2.5470082352801157e-6,1
Chronic kidney disease due to diabetes mellitus type 2,0.974359095096588,4.76837158203125e-6,2.384185791015625e-6,7.822272482882724e-6,1
Chronic kidney disease due to hypertension,0.949999928474426,3.57627868652344e-7,1.78813934326172e-7,8.158385753631598e-7,1
Chronic kidney disease due to other and unspecified causes,0.978021919727325,1.43051147460938e-6,7.1525573730469e-7,2.5470082352801157e-6,1
Chronic lymphoid leukemia,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Chronic myeloid leukemia,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,1
Chronic obstructive pulmonary disease,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Chronic respiratory diseases,0.916666626930237,9.5367431640625e-7,4.76837158203125e-7,1.8320585552014802e-6,1
Cirrhosis due to alcohol,0.883333265781403,2.26497650146484e-6,1.13248825073242e-6,3.93674487159365e-6,1
Cirrhosis due to other causes,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,0.9901960784313726
Coal workers pneumoconiosis,0.966666579246521,2.38418579101562e-7,1.19209289550781e-7,5.899849584547127e-7,0.9803921568627452
Colon and rectum cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Contact dermatitis,0.969696879386902,1.56164169311523e-5,7.80820846557615e-6,2.303027143382056e-5,0.9852941176470588
Decubitus ulcer,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Diabetes and kidney diseases,0.934065878391266,4.29153442382812e-6,2.14576721191406e-6,7.3713414809282996e-6,1
Diabetes mellitus,0.888888895511627,0.00122940540313721,6.14702701568605e-4,0.0012378840610898804,0.9901960784313726
Diabetes mellitus type 2,0.888888895511627,0.00122940540313721,6.14702701568605e-4,0.0012378840610898804,0.9901960784313726
Digestive diseases,0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,6.496700747259735e-5,1
Edentulism,0.969696879386902,1.56164169311523e-5,7.80820846557615e-6,2.303027143382056e-5,1
Encephalitis,0.899999916553497,1.43051147460938e-6,7.1525573730469e-7,2.5470082352801157e-6,0.9901960784313726
Endocarditis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
"Endocrine, metabolic, blood, and immune disorders",0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,6.496700747259735e-5,1
Esophageal cancer,0.980952322483063,4.76837158203125e-7,2.384185791015625e-7,9.805383816571302e-7,1
Eye cancer,0.98333328962326,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Fungal skin diseases,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Gallbladder and biliary diseases,0.944444417953491,5.8066844940185e-4,2.90334224700925e-4,6.23364658916692e-4,0.9558823529411764
Gallbladder and biliary tract cancer,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Gastritis and duodenitis,0.927272796630859,9.918212890625e-5,4.9591064453125e-5,1.1869336737961066e-4,1
Gastroesophageal reflux disease,0.963636457920074,5.16176223754883e-5,2.580881118774415e-5,6.496700747259735e-5,1
Genital prolapse,0.699999928474426,1.8632411956787e-4,9.3162059783935e-5,2.1419938155046474e-4,0.9950980392156864
Gout,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Interstitial lung disease and pulmonary sarcoidosis,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,0.9754901960784312
Intracerebral hemorrhage,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
Ischemic heart disease,0.999999940395355,1.19209289550781e-7,5.96046447753905e-8,3.5519502600844954e-7,1
