df_name,MK_Tau_opt,MK_p_value_opt,p_one,q_bh,prop_sig,_key_GBD,Cause Name,Cause ID,Cause Hierarchy Level,ICD10,ICD10 Used in Hospital/Claims Analyses,ICD9,ICD9 Used in Hospital/Claims Analyses,cause_level_1,cause_level_2,cause_level_3,cause_level_4,ICD10_explo
Acute hepatitis C,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,1.0,acute hepatitis c,Acute hepatitis C,403,4,"B17.1-B17.11, B18.2, B19.2-B19.21",,"070.41, 070.44, 070.51, 070.7-070.71",,"Communicable, maternal, neonatal, and nutritional diseases",Other infectious diseases,Acute hepatitis,Acute hepatitis C,B17
Acute hepatitis C,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,1.0,acute hepatitis c,Acute hepatitis C,403,4,"B17.1-B17.11, B18.2, B19.2-B19.21",,"070.41, 070.44, 070.51, 070.7-070.71",,"Communicable, maternal, neonatal, and nutritional diseases",Other infectious diseases,Acute hepatitis,Acute hepatitis C,B18
Acute hepatitis C,0.999999940395355,1.19209289550781e-07,5.96046447753905e-08,5.140900611877431e-07,1.0,acute hepatitis c,Acute hepatitis C,403,4,"B17.1-B17.11, B18.2, B19.2-B19.21",,"070.41, 070.44, 070.51, 070.7-070.71",,"Communicable, maternal, neonatal, and nutritional diseases",Other infectious diseases,Acute hepatitis,Acute hepatitis C,B19
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847,4,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C92
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847,4,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C92
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847,4,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C93
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847,4,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C94
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847,4,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C94
Acute myeloid leukemia,0.999999940395355,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,acute myeloid leukemia,Acute myeloid leukemia,847,4,"C92.0-C92.02, C92.3-C92.62, C93.0-C93.02, C94.0-C94.02, C94.2-C94.22, C94.4-C94.5",,"205.0-205.02, 205.2-205.32, 206.0-206.02, 207.0-207.02, 207.2-207.82",,Non-communicable diseases,Neoplasms,Leukemia,Acute myeloid leukemia,C94
Alzheimer's disease and other dementias,0.974679350852966,2.38418579101562e-07,1.19209289550781e-07,6.714645697146032e-07,1.0,alzheimer's disease and other dementias,Alzheimer's disease and other dementias,543,3,"F00-F02.0, F02.8-F03.91, F06.2, G30-G31.1, G31.8-G32.89","F00-F02.0, F02.8-F06.2, G30-G31.1, G31.8-G32.89","290-290.9, 294.0-294.9, 331-331.2, 331.6-331.7, 331.82, 331.89-331.9","290-290.9, 294.0-294.9, 331-331.7, 331.82-331.9",Non-communicable diseases,Neurological disorders,Alzheimer's disease and other dementias,,F00
