Phenotype Code,Phenotype Description,UK Biobank Data Showcase Link,Sex,File,wget command,AWS File,Dropbox File,md5s
A04,Diagnoses - main ICD10: A04 Other bacterial intestinal infections,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A04,both_sexes,A04.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A04.gwas.imputed_v3.both_sexes.tsv.bgz -O A04.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A04.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/w1796bky5ytajd1/A04.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,4e76b2eeecacfe2b7bb0c5ff81cf3f94
A04,Diagnoses - main ICD10: A04 Other bacterial intestinal infections,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A04,female,A04.gwas.imputed_v3.female.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A04.gwas.imputed_v3.female.tsv.bgz -O A04.gwas.imputed_v3.female.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A04.gwas.imputed_v3.female.tsv.bgz,https://www.dropbox.com/s/btwvg1wnx5e3l2f/A04.gwas.imputed_v3.female.tsv.bgz?dl=0,0eb6afe73c5ca973b5baceda10c29e9d
A04,Diagnoses - main ICD10: A04 Other bacterial intestinal infections,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A04,male,A04.gwas.imputed_v3.male.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A04.gwas.imputed_v3.male.tsv.bgz -O A04.gwas.imputed_v3.male.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A04.gwas.imputed_v3.male.tsv.bgz,https://www.dropbox.com/s/kmgdgcqho07hfob/A04.gwas.imputed_v3.male.tsv.bgz?dl=0,9ef427408e31f097acd47b5f9d9d53cb
A08,Diagnoses - main ICD10: A08 Viral and other specified intestinal infections,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A08,both_sexes,A08.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A08.gwas.imputed_v3.both_sexes.tsv.bgz -O A08.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A08.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/fwe1899s05l9iz9/A08.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,5e3e0d1bf1660426fce07b3c6062c9e6
A08,Diagnoses - main ICD10: A08 Viral and other specified intestinal infections,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A08,female,A08.gwas.imputed_v3.female.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A08.gwas.imputed_v3.female.tsv.bgz -O A08.gwas.imputed_v3.female.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A08.gwas.imputed_v3.female.tsv.bgz,https://www.dropbox.com/s/zdz8gc5wqxokfmg/A08.gwas.imputed_v3.female.tsv.bgz?dl=0,70aa690b47d622919bcee163a66618f4
A08,Diagnoses - main ICD10: A08 Viral and other specified intestinal infections,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A08,male,A08.gwas.imputed_v3.male.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A08.gwas.imputed_v3.male.tsv.bgz -O A08.gwas.imputed_v3.male.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A08.gwas.imputed_v3.male.tsv.bgz,https://www.dropbox.com/s/vb0iykum8w04w07/A08.gwas.imputed_v3.male.tsv.bgz?dl=0,3acba17836568f0e424fd5cb803c75b8
A09,Diagnoses - main ICD10: A09 Diarrhoea and gastro-enteritis of presumed infectious origin,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A09,both_sexes,A09.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A09.gwas.imputed_v3.both_sexes.tsv.bgz -O A09.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A09.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/gqayllpwk8wbifd/A09.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,479a4caf10ea7b2e76bb372c03bbb5da
A09,Diagnoses - main ICD10: A09 Diarrhoea and gastro-enteritis of presumed infectious origin,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A09,female,A09.gwas.imputed_v3.female.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A09.gwas.imputed_v3.female.tsv.bgz -O A09.gwas.imputed_v3.female.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A09.gwas.imputed_v3.female.tsv.bgz,https://www.dropbox.com/s/px2eiy5e5jfkv16/A09.gwas.imputed_v3.female.tsv.bgz?dl=0,c928dbb025928b6c03e132fb9c642c09
A09,Diagnoses - main ICD10: A09 Diarrhoea and gastro-enteritis of presumed infectious origin,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A09,male,A09.gwas.imputed_v3.male.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A09.gwas.imputed_v3.male.tsv.bgz -O A09.gwas.imputed_v3.male.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A09.gwas.imputed_v3.male.tsv.bgz,https://www.dropbox.com/s/ht4g9jarmyc40f1/A09.gwas.imputed_v3.male.tsv.bgz?dl=0,799a51fb411e85a33b25760cab4affca
A41,Diagnoses - main ICD10: A41 Other septicaemia,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A41,both_sexes,A41.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A41.gwas.imputed_v3.both_sexes.tsv.bgz -O A41.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A41.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/0hdfv06vdqntoq0/A41.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,22b6247adb59cf42bc41d13e960602d8
A41,Diagnoses - main ICD10: A41 Other septicaemia,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A41,female,A41.gwas.imputed_v3.female.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A41.gwas.imputed_v3.female.tsv.bgz -O A41.gwas.imputed_v3.female.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A41.gwas.imputed_v3.female.tsv.bgz,https://www.dropbox.com/s/asp10m1zh0p804e/A41.gwas.imputed_v3.female.tsv.bgz?dl=0,8bc55f69d5d6fd718653972b9d2f4f19
A41,Diagnoses - main ICD10: A41 Other septicaemia,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A41,male,A41.gwas.imputed_v3.male.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A41.gwas.imputed_v3.male.tsv.bgz -O A41.gwas.imputed_v3.male.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A41.gwas.imputed_v3.male.tsv.bgz,https://www.dropbox.com/s/0v304hbhnm08g44/A41.gwas.imputed_v3.male.tsv.bgz?dl=0,e2ac8f6dd588dfe12bbff2d1eb837c89
A63,"Diagnoses - main ICD10: A63 Other predominantly sexually transmitted diseases, not elsewhere classified",http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A63,both_sexes,A63.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A63.gwas.imputed_v3.both_sexes.tsv.bgz -O A63.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A63.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/rzhfg8dup9679hb/A63.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,dfe7f55e7dda422438d58d87a3b0509b
A87,Diagnoses - main ICD10: A87 Viral meningitis,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=A87,both_sexes,A87.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A87.gwas.imputed_v3.both_sexes.tsv.bgz -O A87.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/A87.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/tk0wecey59gs2d4/A87.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,ba17900e85e40ecd94d747a092986708
B02,Diagnoses - main ICD10: B02 Zoster [herpes zoster],http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=B02,both_sexes,B02.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/B02.gwas.imputed_v3.both_sexes.tsv.bgz -O B02.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/B02.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/j7ucqgny0bdmxb8/B02.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,699ff50b29cbb3e0f3dae2ed71ed2064
B07,Diagnoses - main ICD10: B07 Viral warts,http://biobank.ctsu.ox.ac.uk/crystal/field.cgi?id=B07,both_sexes,B07.gwas.imputed_v3.both_sexes.tsv.bgz,wget https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/B07.gwas.imputed_v3.both_sexes.tsv.bgz -O B07.gwas.imputed_v3.both_sexes.tsv.bgz,https://broad-ukb-sumstats-us-east-1.s3.amazonaws.com/round2/additive-tsvs/B07.gwas.imputed_v3.both_sexes.tsv.bgz,https://www.dropbox.com/s/p5kqvfjkltjrk6f/B07.gwas.imputed_v3.both_sexes.tsv.bgz?dl=0,bdc9799e1dec295d29392bad2f70a62b
