trait_type,phenocode,pheno_sex,coding,modifier,description,description_more,coding_description,category,n_cases_full_cohort_both_sexes,n_cases_full_cohort_females,n_cases_full_cohort_males,n_cases_hq_cohort_both_sexes,n_cases_hq_cohort_females,n_cases_hq_cohort_males,pops,num_pops,pops_pass_qc,num_pops_pass_qc,n_cases_AFR,n_cases_AMR,n_cases_CSA,n_cases_EAS,n_cases_EUR,n_cases_MID,n_controls_AFR,n_controls_AMR,n_controls_CSA,n_controls_EAS,n_controls_EUR,n_controls_MID,rhemc_25bin_50rv_h2_observed_AFR,rhemc_25bin_50rv_h2_observed_AMR,rhemc_25bin_50rv_h2_observed_CSA,rhemc_25bin_50rv_h2_observed_EAS,sldsc_25bin_h2_observed_EUR,rhemc_25bin_50rv_h2_observed_MID,rhemc_25bin_50rv_h2_observed_se_AFR,rhemc_25bin_50rv_h2_observed_se_AMR,rhemc_25bin_50rv_h2_observed_se_CSA,rhemc_25bin_50rv_h2_observed_se_EAS,sldsc_25bin_h2_observed_se_EUR,rhemc_25bin_50rv_h2_observed_se_MID,rhemc_25bin_50rv_h2_liability_AFR,rhemc_25bin_50rv_h2_liability_AMR,rhemc_25bin_50rv_h2_liability_CSA,rhemc_25bin_50rv_h2_liability_EAS,sldsc_25bin_h2_liability_EUR,rhemc_25bin_50rv_h2_liability_MID,rhemc_25bin_50rv_h2_liability_se_AFR,rhemc_25bin_50rv_h2_liability_se_AMR,rhemc_25bin_50rv_h2_liability_se_CSA,rhemc_25bin_50rv_h2_liability_se_EAS,sldsc_25bin_h2_liability_se_EUR,rhemc_25bin_50rv_h2_liability_se_MID,rhemc_25bin_50rv_h2_z_AFR,rhemc_25bin_50rv_h2_z_AMR,rhemc_25bin_50rv_h2_z_CSA,rhemc_25bin_50rv_h2_z_EAS,sldsc_25bin_h2_z_EUR,rhemc_25bin_50rv_h2_z_MID,lambda_gc_AFR,lambda_gc_AMR,lambda_gc_CSA,lambda_gc_EAS,lambda_gc_EUR,lambda_gc_MID,phenotype_qc_AFR,phenotype_qc_AMR,phenotype_qc_CSA,phenotype_qc_EAS,phenotype_qc_EUR,phenotype_qc_MID,in_max_independent_set,filename,filename_tabix,aws_link,aws_link_tabix,wget,wget_tabix,md5_hex,size_in_bytes,md5_hex_tabix,size_in_bytes_tabix,trait_efos,trait_efo_terms,trait_efo_categories
icd10,A02,both_sexes,,,A02 Other Salmonella infections,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A00-A09 Intestinal infectious diseases | A02 Other Salmonella infections,112,53,59,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,420419,NA,NA,NA,NA,NA,-1.70E-03,NA,NA,NA,NA,NA,2.10E-03,NA,NA,NA,NA,NA,-4.62E-01,NA,NA,NA,NA,NA,5.70E-01,NA,NA,NA,NA,NA,-8.10E-01,NA,NA,NA,NA,NA,9.65E-01,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-A02-both_sexes.tsv.bgz,icd10-A02-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A02-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A02-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A02-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A02-both_sexes.tsv.bgz.tbi,02c70aa304f8e20d00d5db320097635b,512014019,a45ca5b7d9a42f4e1ec4a8d3468fc681,1749553,NA,NA,NA
icd10,A04,both_sexes,,,A04 Other bacterial intestinal infections,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A00-A09 Intestinal infectious diseases | A04 Other bacterial intestinal infections,3258,1746,1512,NA,NA,NA,"AFR,CSA,EUR",3,,0,85,NA,85,NA,3088,NA,6551,NA,8791,NA,417443,NA,-2.15E-01,NA,1.25E-01,NA,3.30E-03,NA,7.12E-02,NA,3.99E-02,NA,2.40E-03,NA,-2.49E+00,NA,1.81E+00,NA,5.82E-02,NA,8.24E-01,NA,5.75E-01,NA,4.23E-02,NA,-3.02E+00,NA,3.14E+00,NA,1.38E+00,NA,9.90E-01,NA,1.02E+00,NA,1.02E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-A04-both_sexes.tsv.bgz,icd10-A04-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A04-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A04-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A04-both_sexes.tsv.bgz.tbi,d54f84cca815ffcef2a3b36ec0db32e2,1574504920,40bc7004d98e46db8bc796828f4f3a49,2044898,"EFO_0009431,EFO_0000771","intestinal disease,bacterial disease","Digestive system disorder,Other disease"
icd10,A08,both_sexes,,,A08 Viral and other specified intestinal infections,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A00-A09 Intestinal infectious diseases | A08 Viral and other specified intestinal infections,1107,624,483,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,1107,NA,NA,NA,NA,NA,419424,NA,NA,NA,NA,NA,1.00E-04,NA,NA,NA,NA,NA,2.30E-03,NA,NA,NA,NA,NA,3.97E-03,NA,NA,NA,NA,NA,9.13E-02,NA,NA,NA,NA,NA,4.35E-02,NA,NA,NA,NA,NA,1.01E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-A08-both_sexes.tsv.bgz,icd10-A08-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A08-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A08-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A08-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A08-both_sexes.tsv.bgz.tbi,6e86c3e443877d1a13347a3890a8f07a,539225031,a635fd5ec2ae1e51b935c3d768f3b157,1751162,"EFO_0009431,EFO_0000763","intestinal disease,viral disease","Digestive system disorder,Other disease"
icd10,A09,both_sexes,,,A09 Diarrhoea and gastro-enteritis of presumed infectious origin,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A00-A09 Intestinal infectious diseases | A09 Diarrhoea and gastro-enteritis of presumed infectious origin,9346,5360,3986,NA,NA,NA,"AFR,CSA,EUR",3,,0,113,NA,204,NA,9029,NA,6523,NA,8672,NA,411502,NA,1.42E-01,NA,9.49E-02,NA,3.50E-03,NA,8.56E-02,NA,3.91E-02,NA,2.10E-03,NA,1.33E+00,NA,7.18E-01,NA,2.78E-02,NA,8.04E-01,NA,2.96E-01,NA,1.67E-02,NA,1.66E+00,NA,2.42E+00,NA,1.67E+00,NA,9.87E-01,NA,1.01E+00,NA,1.02E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-A09-both_sexes.tsv.bgz,icd10-A09-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A09-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A09-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A09-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A09-both_sexes.tsv.bgz.tbi,34e02a001a8cd7bd9dce51c89990a1a1,1626358731,230eb76b61bbcd07f42ff7b3868d9f7b,2052885,"EFO_1001463,EFO_1001463","gastroenteritis,gastroenteritis",Digestive system disorder
icd10,A40,both_sexes,,,A40 Streptococcal septicaemia,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A30-A49 Other bacterial diseases | A40 Streptococcal septicaemia,362,140,222,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,362,NA,NA,NA,NA,NA,420169,NA,NA,NA,NA,NA,1.10E-03,NA,NA,NA,NA,NA,2.20E-03,NA,NA,NA,NA,NA,1.10E-01,NA,NA,NA,NA,NA,2.20E-01,NA,NA,NA,NA,NA,5.00E-01,NA,NA,NA,NA,NA,1.01E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-A40-both_sexes.tsv.bgz,icd10-A40-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A40-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A40-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A40-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A40-both_sexes.tsv.bgz.tbi,1ce3d0b1cb6052adfd1174830ab7ed03,528172141,d41d74b45d597604c99de25b77f93502,1750623,NA,NA,NA
icd10,A41,both_sexes,,,A41 Other septicaemia,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A30-A49 Other bacterial diseases | A41 Other septicaemia,5743,2594,3149,NA,NA,NA,"AFR,CSA,EUR",3,,0,95,NA,136,NA,5512,NA,6541,NA,8740,NA,415019,NA,1.45E-01,NA,1.06E-01,NA,1.10E-03,NA,8.74E-02,NA,4.28E-02,NA,2.10E-03,NA,1.54E+00,NA,1.07E+00,NA,1.25E-02,NA,9.31E-01,NA,4.35E-01,NA,2.39E-02,NA,1.66E+00,NA,2.46E+00,NA,5.24E-01,NA,9.85E-01,NA,9.96E-01,NA,1.04E+00,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,h2_z_insignificant,NA,FALSE,icd10-A41-both_sexes.tsv.bgz,icd10-A41-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A41-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A41-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A41-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A41-both_sexes.tsv.bgz.tbi,fb588bd0d27dbed4662f02455242324d,1602059159,5bb2591c2d06fb53421cd9e770b614a1,2048987,HP_0100806,sepsis,Other trait
icd10,A49,both_sexes,,,A49 Bacterial infection of unspecified site,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A30-A49 Other bacterial diseases | A49 Bacterial infection of unspecified site,966,409,557,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,966,NA,NA,NA,NA,NA,419565,NA,NA,NA,NA,NA,3.50E-03,NA,NA,NA,NA,NA,2.10E-03,NA,NA,NA,NA,NA,1.55E-01,NA,NA,NA,NA,NA,9.31E-02,NA,NA,NA,NA,NA,1.67E+00,NA,NA,NA,NA,NA,9.96E-01,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-A49-both_sexes.tsv.bgz,icd10-A49-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A49-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A49-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A49-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A49-both_sexes.tsv.bgz.tbi,258660261f32271e8c3684b6517384c6,537734984,39ceb539060b60f19915dbb83448bd54,1751016,NA,NA,NA
icd10,A63,both_sexes,,,"A63 Other predominantly sexually transmitted diseases, not elsewhere classified",truncated: true,NA,"Chapter I Certain infectious and parasitic diseases | A50-A64 Infections with a predominantly sexual mode of transmission | A63 Other predominantly sexually transmitted diseases, not elsewhere classified",218,152,66,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,420313,NA,NA,NA,NA,NA,1.60E-03,NA,NA,NA,NA,NA,2.00E-03,NA,NA,NA,NA,NA,2.46E-01,NA,NA,NA,NA,NA,3.07E-01,NA,NA,NA,NA,NA,8.00E-01,NA,NA,NA,NA,NA,1.01E+00,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-A63-both_sexes.tsv.bgz,icd10-A63-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A63-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A63-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A63-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A63-both_sexes.tsv.bgz.tbi,74716e6250ca1867477c72aa0e0b303e,521320598,7154f465a0cea53027dd21ab66d271c7,1749910,EFO_0003955,NA,NA
icd10,A87,both_sexes,,,A87 Viral meningitis,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | A80-A89 Viral infections of the central nervous system | A87 Viral meningitis,170,102,68,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,170,NA,NA,NA,NA,NA,420361,NA,NA,NA,NA,NA,5.50E-03,NA,NA,NA,NA,NA,2.10E-03,NA,NA,NA,NA,NA,1.04E+00,NA,NA,NA,NA,NA,3.98E-01,NA,NA,NA,NA,NA,2.62E+00,NA,NA,NA,NA,NA,9.81E-01,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-A87-both_sexes.tsv.bgz,icd10-A87-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A87-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A87-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-A87-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-A87-both_sexes.tsv.bgz.tbi,cb4209ab3ba908a9b056eb690553731e,517107070,bbe9631bace33e829649f5c1a5def0f4,1750150,EFO_1001236,viral meningitis,Neurological disorder
icd10,B00,both_sexes,,,B00 Herpesviral [herpes simplex] infections,truncated: true,NA,Chapter I Certain infectious and parasitic diseases | B00-B09 Viral infections characterized by skin and mucous membrane lesions | B00 Herpesviral [herpes simplex] infections,355,187,168,NA,NA,NA,EUR,1,,0,NA,NA,NA,NA,355,NA,NA,NA,NA,NA,420176,NA,NA,NA,NA,NA,3.20E-03,NA,NA,NA,NA,NA,2.10E-03,NA,NA,NA,NA,NA,3.25E-01,NA,NA,NA,NA,NA,2.13E-01,NA,NA,NA,NA,NA,1.52E+00,NA,NA,NA,NA,NA,9.84E-01,NA,NA,NA,NA,NA,h2_z_insignificant,NA,FALSE,icd10-B00-both_sexes.tsv.bgz,icd10-B00-both_sexes.tsv.bgz.tbi,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B00-both_sexes.tsv.bgz,https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B00-both_sexes.tsv.bgz.tbi,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files/icd10-B00-both_sexes.tsv.bgz,wget https://pan-ukb-us-east-1.s3.amazonaws.com/sumstats_flat_files_tabix/icd10-B00-both_sexes.tsv.bgz.tbi,d4d4fee0e506bb92e3f39680a7170ea0,527857077,30808327cdf60f7d4e795768b4b6dc61,1750356,NA,NA,NA
