"exposure","trait_category","samplesize","cohorts_used","ancestry","sex","source_type","ieu_id","paper_link","ukb_overlap_confirmation","exposure_units","multiple_testing_correction","confirm","phenoscanner_exclusions","exposure_snps","exposure_group"
"LDL cholesterol","Lipids & Lipoproteins",173082,"60+ studies meta-analysed by GLGC; includes ARIC; CARDIA; FHS; CHS; WGHS; KORA; NFBC; HPFS; NHS; deCODE; PROCARDIS; etc.","MIX","both","paper","ieu-a-300","https://www.nature.com/articles/ng.2797","Verified: GLGC 2013 paper (Willer et al.) explicitly lists 60+ contributing cohorts; UKB not among them; published October 2013, predating UKB data release.","SD (mg/dL)","BH","yes","educat, school, smok",,"59fji9ji08ky"
"HDL cholesterol","Lipids & Lipoproteins",187167,"60+ studies meta-analysed by GLGC; includes ARIC; CARDIA; FHS; CHS; WGHS; KORA; NFBC; HPFS; NHS; deCODE; PROCARDIS; etc.","MIX","both","paper","ieu-a-299","https://www.nature.com/articles/ng.2797","Verified: GLGC 2013 paper (Willer et al.) explicitly lists 60+ contributing cohorts; UKB not among them; published October 2013, predating UKB data release.","SD (mg/dL)","BH","yes","educat, school, smok",,"bnrfert6pb09"
"Total cholesterol","Lipids & Lipoproteins",187365,"60+ studies meta-analysed by GLGC","MIX","both","paper","ieu-a-301","https://www.nature.com/articles/ng.2797","Verified: GLGC 2013 paper (Willer et al.) explicitly lists 60+ contributing cohorts; UKB not among them; published October 2013, predating UKB data release.","SD (mg/dL)","BH","yes","educat, school, smok",,"6p27ijfhnzkm"
"Triglycerides","Lipids & Lipoproteins",177861,"60+ GLGC cohorts","MIX","both","paper","ieu-a-302","https://www.nature.com/articles/ng.2797","Verified: GLGC 2013 paper (Willer et al.) explicitly lists 60+ contributing cohorts; UKB not among them; published October 2013, predating UKB data release.","SD (mg/dL)","BH","yes","educat, school, smok",,"3qvfcasbxoup"
"Apolipoprotein A-I","Lipids & Lipoproteins",20687,"Kettunen et al. 2016 Nightingale NMR meta-analysis; 14 European cohorts (FINRISK; NFBC1966; NFBC1986; YFS; ERF; KORA; LBC; etc.)","EUR","both","paper","met-c-842","https://www.nature.com/articles/ncomms11122","Verified: Kettunen et al. 2016 lists 14 European cohorts (FINRISK, NFBC1966, NFBC1986, YFS, ERF, KORA, etc.); UKB is not listed.","SD","BH","yes","educat, school, smok",,"49get8exjib8"
"Apolipoprotein B","Lipids & Lipoproteins",20690,"Kettunen et al. 2016 Nightingale NMR meta-analysis; 14 European cohorts","EUR","both","paper","met-c-843","https://www.nature.com/articles/ncomms11122","Verified: Kettunen et al. 2016 lists 14 European cohorts (FINRISK, NFBC1966, NFBC1986, YFS, ERF, KORA, etc.); UKB is not listed.","SD","BH","yes","educat, school, smok",,"o5y4wunu6pdd"
"Fasting glucose","Glycemic & Insulin Traits",133010,"MAGIC; 49 European cohorts (FHS; ARIC; CHS; KORA; etc.)","EUR","both","paper","ieu-b-114","https://www.nature.com/articles/ng.2274","Verified: Scott et al. 2012 MAGIC fasting glucose/insulin meta-analysis published before UKB GWAS data release.","mmol/L","BH","yes","educat, school, smok",,"jjivbq7gg3vr"
"Fasting insulin","Glycemic & Insulin Traits",108557,"MAGIC; 51 European cohorts","EUR","both","paper","ieu-b-116","https://www.nature.com/articles/ng.2274","Verified: Scott et al. 2012 MAGIC fasting glucose/insulin meta-analysis published before UKB GWAS data release.","ln(pmol/L)","BH","yes","educat, school, smok",,"k3w230xpauhc"
"Two-hour glucose challenge","Glycemic & Insulin Traits",15234,"MAGIC; 30 European cohorts (Saxena et al. 2010)","MIX","both","paper","ebi-a-GCST000569","https://www.nature.com/articles/ng.521","Verified: paper published before UKB GWAS data release (2015 interim/2017 full); UKB cannot be a contributing cohort.","mmol/L","BH","yes","educat, school, smok",,"2taarolanajz"
"HOMA-IR","Glycemic & Insulin Traits",37037,"MAGIC; 29 European cohorts (Manning et al. 2012)","EUR","both","paper","ieu-b-118","https://www.nature.com/articles/ng.2385","Verified: Manning et al. 2012 MAGIC GIANT joint meta-analysis (HOMA-IR / HOMA-B) published before UKB GWAS data release.","ln(HOMA-IR)","BH","yes","educat, school, smok",,"mhgm4eedez3j"
"HOMA-B","Glycemic & Insulin Traits",36466,"MAGIC; 29 European cohorts (Dupuis et al. 2010)","EUR","both","paper","ieu-b-117","https://www.nature.com/articles/ng.520","Verified: paper published before UKB GWAS data release (2015 interim/2017 full); UKB cannot be a contributing cohort.","ln(HOMA-B)","BH","yes","educat, school, smok",,"jhzjomgefwhc"
"Adiponectin","Glycemic & Insulin Traits",39883,"ADIPOGen consortium; 16 European-ancestry cohorts (FHS; ARIC; CHS; KORA; etc.)","MIX","both","paper","ieu-a-1","https://journals.plos.org/plosgenetics/article?id=10.1371/journal.pgen.1002607","Verified: Dastani et al. 2012 (n=39,883) and Wu et al. 2014 (n=45,891) ADIPOGen meta-analyses pre-date UKB GWAS data release.","ln(mg/dL)","BH","yes","educat, school, smok",,"izyofmudj0vg"
"Leptin","Glycemic & Insulin Traits",32161,"23 European-ancestry cohorts (FHS; ARIC; CHS; KORA; etc.)","EUR","both","paper","ieu-a-1003","https://www.nature.com/articles/ncomms10494","Verified: Kilpelainen et al. 2016 leptin meta-analysis lists 23 contributing cohorts; UKB is not among them.","log ng/ml","BH","yes","educat, school, smok",,"orwnqwshn9zx"
