exposure_group,ieu_id,exposure,exposure_units,exposure_snps,ancestry,sex,multiple_testing_correction,confirm,phenoscanner_exclusions
62uv0ft68pi1,ieu-a-805,Major depressive disorder,log odds,,EUR,both,BH,yes,
3fer9ibcguv1,ieu-a-1188,Major depressive disorder,log odds,,EUR,both,BH,yes,
u0be94b1ugr0,ieu-a-1000,Depressive symptoms (PHQ-9 items),SD,,EUR,both,BH,yes,
mqaywdihhq8p,ieu-b-41,Bipolar disorder (I; II),log odds,,EUR,both,BH,yes,
laqr7wd2c3oh,ieu-a-1183,ADHD,log odds,,EUR,both,BH,yes,
2z6khfaayq64,ieu-a-1185,Autism spectrum disorder,log odds,,EUR,both,BH,yes,
j54o5fvlm71b,ieu-a-1186,Anorexia nervosa,log odds,,EUR,both,BH,yes,
q8bz5frmufiq,ebi-a-GCST002920,Neuroticism (and facets),SD,,EUR,both,BH,yes,
bj7wh2wd1tp4,ieu-a-115,Extraversion,arbitrary score,,EUR,both,BH,yes,
y1lprp42ze07,ieu-a-114,Conscientiousness,arbitrary score,,EUR,both,BH,yes,
ne2jxq5pdvvx,ieu-a-117,Openness,arbitrary score,,EUR,both,BH,yes,
hhc0nnmhl5z6,ieu-a-113,Agreeableness,arbitrary score,,EUR,both,BH,yes,
r7esho0s99kx,ieu-a-837,Educational attainment (years of schooling),SD (years),,EUR,both,BH,yes,
fbi6ztkh76wh,ieu-a-836,College / university completion,log odds,,EUR,both,BH,yes,
