exposure,exposure,trait_category,sample_size,cohorts_used,ancestry,sex,source_type,ieu_id,paper_link,ukb_overlap_confirmation,exposure_units,multiple_testing_correction,confirm,phenoscanner_exclusions,exposure_snps
GLP1R (gene expression cis-eQTL),GLP1R (gene expression cis-eQTL),Drug-target Diabetes/metabolic,29623,"eQTLGen Consortium (37 cohorts incl. BIOS, Framingham, Rotterdam, KORA, etc.)",EUR,both,ieugwasr,eqtl-a-ENSG00000112164,https://www.nature.com/articles/s41588-021-00913-z,No UKB: eQTLGen Phase 1 cohort list does not include UK Biobank,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
GIPR (gene expression cis-eQTL),GIPR (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31470,eQTLGen Consortium (37 cohorts),EUR,both,ieugwasr,eqtl-a-ENSG00000010310,https://www.nature.com/articles/s41588-021-00913-z,No UKB: eQTLGen Phase 1 cohort list does not include UK Biobank,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
DPP4 (gene expression cis-eQTL),DPP4 (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000197635,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
SLC5A2 / SGLT2 (gene expression cis-eQTL),SLC5A2 / SGLT2 (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31306,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000140675,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
KCNJ11 (gene expression cis-eQTL),KCNJ11 (gene expression cis-eQTL),Drug-target Diabetes/metabolic,14263,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000187486,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
PPARG (gene expression cis-eQTL),PPARG (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000132170,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
PPARA (gene expression cis-eQTL),PPARA (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000186951,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
PPARD (gene expression cis-eQTL),PPARD (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000112033,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
PRKAA1 (gene expression cis-eQTL),PRKAA1 (gene expression cis-eQTL),Drug-target Diabetes/metabolic,30721,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000132356,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
MTOR (gene expression cis-eQTL),MTOR (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000198793,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
ACACA / ACC1 (gene expression cis-eQTL),ACACA / ACC1 (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31470,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000132142,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
DGAT2 (gene expression cis-eQTL),DGAT2 (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000062282,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
THRB (gene expression cis-eQTL),THRB (gene expression cis-eQTL),Drug-target Diabetes/metabolic,31684,eQTLGen Consortium,EUR,both,ieugwasr,eqtl-a-ENSG00000151090,https://www.nature.com/articles/s41588-021-00913-z,No UKB,SD (Z-score normalised gene expression),BH,yes,"educat, school, smok",
IL6R (soluble IL-6R plasma pQTL),IL6R (soluble IL-6R plasma pQTL),Drug-target Inflammation/immunology,3301,INTERVAL (Sun et al. 2018),EUR,both,ieugwasr,prot-a-1540,https://www.nature.com/articles/s41586-018-0175-2,No UKB,SD (rank-inverse-normal transformed plasma protein levels),BH,yes,"educat, school, smok",
