"exposure","trait_category","samplesize","cohorts_used","ancestry","sex","source_type","ieu_id","paper_link","ukb_overlap_confirmation","exposure_units","multiple_testing_correction","confirm","phenoscanner_exclusions","exposure_snps","exposure_group"
"CD274 (PD-L1)","Drug-target — Immuno-oncology","3301","INTERVAL","EUR","both","ieugwasr","prot-a-431",,"no UKB overlap (INTERVAL UK blood donors; independent of UKB)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"z44zn5s742p4"
"CD274 (PD-L1)","Drug-target — Immuno-oncology","982","Generation Scotland","EUR","both","ieugwasr","ebi-a-GCST90000492",,"no UKB overlap (Generation Scotland cohort only)","SD (rank-INT log2 Olink NPX)","BH","yes","educat, school, smok",,"beiev9yl13vk"
"CTLA4","Drug-target — Immuno-oncology","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-3022_4_2",,"no UKB overlap (Suhre KORA/QMDiab; predates UKB-PPP)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"45k2a3efwbtf"
"LAG3","Drug-target — Immuno-oncology","3301","INTERVAL","EUR","both","ieugwasr","prot-a-1692",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"s4q9g864gdev"
"LAG3","Drug-target — Immuno-oncology","3301","INTERVAL","EUR","both","ieugwasr","prot-a-1693",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"kxe4m6bv3vf8"
"LAG3","Drug-target — Immuno-oncology","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-5099_14_3",,"no UKB overlap (Suhre KORA/QMDiab)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"28ivl8pvmiwv"
"HAVCR2 (TIM-3)","Drug-target — Immuno-oncology","3301","INTERVAL","EUR","both","ieugwasr","prot-a-1311",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"q1q7mcnx1sxx"
"HAVCR2 (TIM-3)","Drug-target — Immuno-oncology","3301","INTERVAL","EUR","both","ieugwasr","prot-a-1312",,"no UKB overlap (INTERVAL only)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"2cc8wsbbyk8m"
"APP","Drug-target — Neurology/psychiatry","not specified in OpenGWAS","KORA F4 + QMDiab","EUR","both","ieugwasr","prot-c-3171_57_2",,"no UKB overlap (Suhre KORA/QMDiab)","SD (rank-INT log SOMAmer RFU)","BH","yes","educat, school, smok",,"32q3yqieng1u"
"MAPT (tau / total-tau plasma)","Drug-target — Neurology/psychiatry","14721","ARIC + FHS + 3C + AGES + Rotterdam (CHARGE)","EUR","both","ieugwasr","ebi-a-GCST90095138",,"no UKB overlap (CHARGE meta-analysis; UKB not contributing cohort)","SD (log pg/mL plasma total tau, Simoa)","BH","yes","educat, school, smok",,"eafx6q349qk7"
