exposure,trait_category,samplesize,cohorts_used,ancestry,sex,source_type,ieu_id,paper_link,ukb_overlap_confirmation,exposure_units,multiple_testing_correction,confirm,phenoscanner_exclusions,exposure_snps,exposure_group
Gut microbiota abundance (phylum Bacteroidetes id.905),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017111,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,u26a5nd9l0nu
Gut microbiota abundance (phylum Firmicutes id.1672),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017114,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,jv1nepuon2av
Gut microbiota abundance (phylum Actinobacteria id.400),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017110,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,wrz9cgz538ii
Gut microbiota abundance (phylum Proteobacteria id.2375),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017116,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,z2luesg2jjwq
Gut microbiota abundance (phylum Verrucomicrobia id.3982),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017118,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,lriy9j5vfr72
Gut microbiota abundance (genus Bifidobacterium id.436),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016970,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,kwug6zilxf3w
Gut microbiota abundance (genus Akkermansia id.4037),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016961,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,j703l67on5at
Gut microbiota abundance (genus Faecalibacterium id.2057),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017007,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,2wd3wru9rsoy
Gut microbiota abundance (genus Roseburia id.2012),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017048,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,3vln87vbeyte
Gut microbiota abundance (genus Ruminococcus1 id.11373),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017062,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,eypvlhsp99w3
Gut microbiota abundance (genus Alloprevotella id.961),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016964,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,hhu4yupxgdhw
Gut microbiota abundance (genus Lactobacillus id.1837),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017030,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,cqws67i6mp79
Gut microbiota abundance (genus Bacteroides id.918),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016968,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,rvwl4nb7ojq0
Gut microbiota abundance (k_Bacteria.p_Firmicutes.c_Clostridia.o_Clostridiales.f_Lachnospiraceae.g_Coprococcus.s_Coprococcus_sp_ART55_1),Microbiome,7738,Dutch Microbiome Project,EUR,both,ieugwasr,ebi-a-GCST90027845,https://www.nature.com/articles/s41588-021-00992-y,No UKB participants,rank-normalized CLR-transformed abundance (SD),BH,yes,"educat, school, smok",,4orllhcs1izu
Gut microbiota abundance (genus Eubacterium rectale group id.14374),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017003,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,sgok2tjl0pu2
Gut microbiota abundance (genus Lachnospira id.2004),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017029,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,e10pehkpi9h1
Gut microbiota abundance (family Christensenellaceae id.1866),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016930,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,fxhen551ycj9
Gut microbiota abundance (genus Blautia id.1992),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016972,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,n3ewt2xjmegi
Gut microbiota abundance (genus Dorea id.1997),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016989,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,yf592lwxuhr0
Gut microbiota abundance (genus Bilophila id.3170),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90016971,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,jjopx7gkbz5j
Gut microbiota abundance (genus Methanobrevibacter id.123),Microbiome,14306,MiBioGen (European subset),EUR,both,ieugwasr,ebi-a-GCST90017033,https://www.nature.com/articles/s41588-020-00763-1,No UKB participants,rank-normalized relative abundance (SD),BH,yes,"educat, school, smok",,1gkyn57vw0cc
Gut bacterial pathway abundance (PWY_REDCITCYC..TCA.cycle.VIII..helicobacter.),Microbiome,7738,Dutch Microbiome Project (Lopera-Maya 2022),EUR,both,ieugwasr,ebi-a-GCST90027635,https://www.nature.com/articles/s41588-021-00992-y,No UKB participants,rank-normalized CLR-transformed abundance (SD),BH,yes,"educat, school, smok",,khd97h0ar988
Anti-cytomegalovirus IgG levels,Infectious/Serological,347,Milieu Interieur (Scepanovic 2018),EUR,both,ieugwasr,ebi-a-GCST006344,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0568-8,No UKB participants,"log MFI (antibody titer, SD)",BH,yes,"educat, school, smok",,vl34g1ngyyqz
Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels,Infectious/Serological,914,Milieu Interieur (Scepanovic 2018),EUR,both,ieugwasr,ebi-a-GCST006361,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0568-8,No UKB participants,"log MFI (antibody titer, SD)",BH,yes,"educat, school, smok",,3chqnqio1re4
Anti-Epstein-Barr virus early antigen (EA) IgG levels,Infectious/Serological,91,Milieu Interieur (Scepanovic 2018),EUR,both,ieugwasr,ebi-a-GCST006345,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0568-8,No UKB participants,"log MFI (antibody titer, SD)",BH,yes,"educat, school, smok",,e65xzjsr3rbr
Anti-herpes simplex virus 1 IgG levels,Infectious/Serological,645,Milieu Interieur (Scepanovic 2018),EUR,both,ieugwasr,ebi-a-GCST006346,https://genomemedicine.biomedcentral.com/articles/10.1186/s13073-018-0568-8,No UKB participants,"log MFI (antibody titer, SD)",BH,yes,"educat, school, smok",,sz7v8g816y1x
