exposure_group,ieu_id,exposure,exposure_units,exposure_snps,ancestry,sex,multiple_testing_correction,confirm,phenoscanner_exclusions,contains_ukb,samplesize,consortium,author,year,pmid,population_raw,sex_raw
idxyniemfox3,ieu-b-4879,telomere length,SD log-transformed leukocyte telomere length,,EUR,both,BH,yes,"educat, school, smok",no,472174,,Codd,2021,,European,Males and Females
qlivqlboxnp5,finn-b-R18_OTHER_SYMPTOMS_SIGNS_INVOLVI_COGNITIVE_FUNCTIONS_AWARE,Other symptoms and signs involving cognitive functions and awareness,log odds ,,EUR,both,BH,yes,"educat, school, smok",no,,,,2021,,European,Males and Females
zpwl6lke7zjx,ebi-a-GCST90101892,NK-cell telomere length,rank corr. (unitless),,EUR,both,BH,yes,"educat, school, smok",no,902,,Andreu-S<U+00E1>nchez S,2022,35681050,European,
gv1ibvlvp31f,ebi-a-GCST90101891,B-cell telomere length,rank corr. (unitless),,EUR,both,BH,yes,"educat, school, smok",no,902,,Andreu-S<U+00E1>nchez S,2022,35681050,European,
gw1z1e3ullwd,ebi-a-GCST90101890,Memory T-cell telomere length,rank corr. (unitless),,EUR,both,BH,yes,"educat, school, smok",no,902,,Andreu-S<U+00E1>nchez S,2022,35681050,European,
z1qszqg7k05g,ebi-a-GCST90101889,Naive T-cell telomere length,rank corr. (unitless),,EUR,both,BH,yes,"educat, school, smok",no,902,,Andreu-S<U+00E1>nchez S,2022,35681050,European,
u8d0f226q540,ebi-a-GCST90101888,Lymphocyte telomere length,rank corr. (unitless),,EUR,both,BH,yes,"educat, school, smok",no,902,,Andreu-S<U+00E1>nchez S,2022,35681050,European,
73abd9roo9rh,ebi-a-GCST90101887,Granulocyte telomere length,rank corr. (unitless),,EUR,both,BH,yes,"educat, school, smok",no,902,,Andreu-S<U+00E1>nchez S,2022,35681050,European,
fqro94ukzfpo,ebi-a-GCST90020053,Frailty index,SD (quantile-normalised),,EUR,both,BH,yes,"educat, school, smok",yes,175226,,Atkins JL,2021,34431594,European,
ljkv1krbwc5w,ebi-a-GCST90014304,DNA methylation PhenoAge acceleration,Phenoage years,,AFR,both,BH,yes,"educat, school, smok",no,6148,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
1nxhui1n2ovf,ebi-a-GCST90014303,DNA methylation-estimated plasminogen activator inhibitor-1 levels,pg/mL,,AFR,both,BH,yes,"educat, school, smok",no,6149,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
hn20tpteav21,ebi-a-GCST90014302,Intrinsic epigenetic age acceleration,years,,EUR,both,BH,yes,"educat, school, smok",no,34461,,McCartney DL,2021,34187551,European,
9tk496q8jvrw,ebi-a-GCST90014301,DNA methylation Hannum age acceleration,years,,AFR,both,BH,yes,"educat, school, smok",no,6148,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
b5wr1tkmy7nx,ebi-a-GCST90014300,DNA methylation GrimAge acceleration,years,,EUR,both,BH,yes,"educat, school, smok",no,34467,,McCartney DL,2021,34187551,European,
f76c61lil6s5,ebi-a-GCST90014299,DNA methylation-estimated granulocyte proportions,proportion ,,AFR,both,BH,yes,"educat, school, smok",no,6152,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
bahv21r2yxfq,ebi-a-GCST90014298,DNA methylation PhenoAge acceleration,years ,,AFR,both,BH,yes,"educat, school, smok",no,6148,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
wdhd82750fc0,ebi-a-GCST90014297,DNA methylation-estimated plasminogen activator inhibitor-1 levels,pg/mL,,AFR,both,BH,yes,"educat, school, smok",no,6149,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
359fqzx8bmso,ebi-a-GCST90014296,Intrinsic epigenetic age acceleration,years,,AFR,both,BH,yes,"educat, school, smok",no,6148,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
8zs1tfqpzxvm,ebi-a-GCST90014295,DNA methylation Hannum age acceleration,years ,,AFR,both,BH,yes,"educat, school, smok",no,6148,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
6hiedb2ljswm,ebi-a-GCST90014294,DNA methylation GrimAge acceleration,years,,AFR,both,BH,yes,"educat, school, smok",no,6148,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
b9si9f4qylv5,ebi-a-GCST90014293,DNA methylation-estimated granulocyte proportions,proportion,,AFR,both,BH,yes,"educat, school, smok",no,6152,,McCartney DL,2021,34187551,African American or Afro-Caribbean,
v3ofp01d8tuo,ebi-a-GCST90014292,DNA methylation PhenoAge acceleration,years ,,EUR,both,BH,yes,"educat, school, smok",no,34463,,McCartney DL,2021,34187551,European,
bt8dst4s9cye,ebi-a-GCST90014291,DNA methylation-estimated plasminogen activator inhibitor-1 levels,pg/mL,,EUR,both,BH,yes,"educat, school, smok",no,34448,,McCartney DL,2021,34187551,European,
g1rtun4iuypq,ebi-a-GCST90014290,Intrinsic epigenetic age acceleration,years ,,EUR,both,BH,yes,"educat, school, smok",no,34461,,McCartney DL,2021,34187551,European,
94silxzv3570,ebi-a-GCST90014289,DNA methylation Hannum age acceleration,years,,EUR,both,BH,yes,"educat, school, smok",no,34449,,McCartney DL,2021,34187551,European,
uav5p27mub5z,ebi-a-GCST90014288,DNA methylation GrimAge acceleration,years ,,EUR,both,BH,yes,"educat, school, smok",no,34467,,McCartney DL,2021,34187551,European,
i9jhtzyda4wt,ebi-a-GCST90014287,DNA methylation-estimated granulocyte proportions,proportion ,,EUR,both,BH,yes,"educat, school, smok",no,34470,,McCartney DL,2021,34187551,European,
